2022-08-22 12:03:12.780  INFO [authorizationService,,] 21120 --- [http-nio-9095-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-22 12:03:12.799  INFO [authorizationService,,] 21120 --- [http-nio-9095-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 17 ms
2022-08-22 12:03:13.365  INFO [authorizationService,996f3cb89e2b24df,996f3cb89e2b24df] 21120 --- [http-nio-9095-exec-2] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-08-22 12:03:13.372  INFO [authorizationService,996f3cb89e2b24df,996f3cb89e2b24df] 21120 --- [http-nio-9095-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 12:03:13.969  INFO [authorizationService,996f3cb89e2b24df,996f3cb89e2b24df] 21120 --- [http-nio-9095-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 12:03:13.974  INFO [authorizationService,996f3cb89e2b24df,996f3cb89e2b24df] 21120 --- [http-nio-9095-exec-2] c.c.controller.AuthorizationController   : END - generateToken
2022-08-22 12:03:15.277  INFO [authorizationService,550792834998996f,550792834998996f] 21120 --- [http-nio-9095-exec-4] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 12:03:15.336  INFO [authorizationService,550792834998996f,550792834998996f] 21120 --- [http-nio-9095-exec-4] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 12:04:10.652  INFO [authorizationService,174f912f9ee52197,82a863789eeba54b] 21120 --- [http-nio-9095-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 12:04:10.659  INFO [authorizationService,174f912f9ee52197,82a863789eeba54b] 21120 --- [http-nio-9095-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 12:04:10.698  INFO [authorizationService,174f912f9ee52197,82a863789eeba54b] 21120 --- [http-nio-9095-exec-5] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-22 12:04:10.703  INFO [authorizationService,174f912f9ee52197,82a863789eeba54b] 21120 --- [http-nio-9095-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 12:04:10.706  INFO [authorizationService,174f912f9ee52197,82a863789eeba54b] 21120 --- [http-nio-9095-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 12:04:10.712  INFO [authorizationService,174f912f9ee52197,82a863789eeba54b] 21120 --- [http-nio-9095-exec-5] c.c.controller.AuthorizationController   : END - authorization
2022-08-22 12:04:10.964  INFO [authorizationService,174f912f9ee52197,0467dd241e6a56c7] 21120 --- [http-nio-9095-exec-6] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 12:04:10.967  INFO [authorizationService,174f912f9ee52197,0467dd241e6a56c7] 21120 --- [http-nio-9095-exec-6] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 12:04:10.971  INFO [authorizationService,174f912f9ee52197,0467dd241e6a56c7] 21120 --- [http-nio-9095-exec-6] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-22 12:04:10.972  INFO [authorizationService,174f912f9ee52197,0467dd241e6a56c7] 21120 --- [http-nio-9095-exec-6] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 12:04:10.973  INFO [authorizationService,174f912f9ee52197,0467dd241e6a56c7] 21120 --- [http-nio-9095-exec-6] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 12:04:10.976  INFO [authorizationService,174f912f9ee52197,0467dd241e6a56c7] 21120 --- [http-nio-9095-exec-6] c.c.controller.AuthorizationController   : END - authorization
2022-08-22 13:25:24.280  INFO [authorizationService,,] 15180 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Starting AuthorizationMicroserviceApplication using Java 15.0.2 on LAPTOP-PDMVOPJG with PID 15180 (C:\Users\hp\Desktop\PensionManagementSystem-master\authorization-microservice\target\classes started by hp in C:\Users\hp\Desktop\PensionManagementSystem-master\authorization-microservice)
2022-08-22 13:25:24.287  INFO [authorizationService,,] 15180 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-08-22 13:25:24.567  INFO [authorizationService,,] 15180 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-22 13:25:24.567  INFO [authorizationService,,] 15180 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-22 13:25:29.838  INFO [authorizationService,,] 15180 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-22 13:25:30.027  INFO [authorizationService,,] 15180 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 169 ms. Found 1 JPA repository interfaces.
2022-08-22 13:25:31.109  INFO [authorizationService,,] 15180 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=528b1acf-83df-34cd-88dd-6d1010a2cef8
2022-08-22 13:25:34.831  INFO [authorizationService,,] 15180 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9095 (http)
2022-08-22 13:25:34.879  INFO [authorizationService,,] 15180 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-22 13:25:34.881  INFO [authorizationService,,] 15180 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-22 13:25:35.434  INFO [authorizationService,,] 15180 --- [restartedMain] o.a.c.c.C.[.[.[/authorization]           : Initializing Spring embedded WebApplicationContext
2022-08-22 13:25:35.436  INFO [authorizationService,,] 15180 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 10867 ms
2022-08-22 13:25:35.852  INFO [authorizationService,,] 15180 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-22 13:25:36.980  INFO [authorizationService,,] 15180 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-22 13:25:37.002  INFO [authorizationService,,] 15180 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-08-22 13:25:39.632  INFO [authorizationService,,] 15180 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-22 13:25:40.379  INFO [authorizationService,,] 15180 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-22 13:25:43.519  INFO [authorizationService,,] 15180 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-22 13:25:44.550  INFO [authorizationService,,] 15180 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-22 13:25:48.267  INFO [authorizationService,,] 15180 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-22 13:25:48.309  INFO [authorizationService,,] 15180 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-22 13:25:57.454  INFO [authorizationService,,] 15180 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-08-22 13:25:58.475  WARN [authorizationService,,] 15180 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
